Date,ROA,Loan Growth Rate,GDP Growth Rate,Total Assets,Interbank Rate,Liquidity,Credit Risk
1984-01-01,0.0073,0.11,0.029870034727328007,3373.919507,0.0968,0.11812691416410842,0.0018766427756505594
1984-04-01,0.006500000000000001,0.153,0.025984031950428532,3479.6122689999997,0.109533333333333,0.11594139484855347,0.0029992011644260634
1984-07-01,0.0068000000000000005,0.12400000000000001,0.01861756319394371,3520.867479,0.1144,0.11379596147532255,0.00272979402630984
1984-10-01,0.006500000000000001,0.113,0.01574364938483207,3653.11732,0.09386666666666671,0.10972554804234977,0.003860673419047051
1985-01-01,0.0077,0.1,0.01967361616140172,3666.4428930000004,0.0861666666666666,0.10943105121479385,0.002318059499926679
1985-04-01,0.0076,0.028999999999999998,0.015299392364558583,3758.081537,0.0795,0.10885237480146776,0.0032898953314894532
1985-07-01,0.0077,0.102,0.02139427649668092,3853.6324219999997,0.0779333333333333,0.10875681801080715,0.0032019920384472223
1985-10-01,0.0070999999999999995,0.086,0.013066780524089099,3993.326324,0.07830000000000001,0.10577237263618128,0.004524744165178953
1986-01-01,0.0075,0.092,0.014356131981006744,4022.333998,0.07583333333333331,0.11279734607459119,0.0033070881564016496
1986-04-01,0.0068000000000000005,0.07200000000000001,0.008306761427841895,4106.579622,0.0666,0.1108520574059382,0.003802364213300811
1986-07-01,0.0069,0.078,0.013712725560684067,4158.122268,0.06,0.11353908557072762,0.003538839008797919
1986-10-01,0.0064,0.08900000000000001,0.010842358685053231,4327.5651370000005,0.058300000000000005,0.1133573232221923,0.004754711787493919
1987-01-01,0.0073,0.126,0.013854479974458997,4301.276512,0.0604666666666667,0.11617311712137607,0.0034944531667823707
1987-04-01,-0.0037,0.076,0.01778933182215918,4353.712757,0.0681666666666667,0.11667166125815222,0.014826275700552987
1987-07-01,0.0002,0.054000000000000006,0.016311358756262887,4407.108435,0.0694,0.11678065280007116,0.003876559996714903
1987-10-01,0.0009,0.085,0.02527128878679826,4502.05954,0.0764,0.11545471475483862,0.007299425414145148
1988-01-01,0.006600000000000001,0.078,0.013054728100712704,4540.89239,0.06716666666666671,0.11609821478284359,0.005004087685981703
1988-04-01,0.0069,0.094,0.022995356934204656,4611.831719,0.0722333333333333,0.11640262106450029,0.005141479484917434
1988-07-01,0.0083,0.092,0.017880222796142452,4692.092277,0.0817333333333334,0.11616393451419756,0.003910695648099748
1988-10-01,0.0083,0.071,0.022085490082503045,4758.966067,0.0879666666666667,0.11444149681515263,0.005457970009231712
1989-01-01,0.0094,0.07,0.02069521506492529,4698.92756,0.096,0.11664229614129229,0.002727302627942504
1989-04-01,0.0092,0.084,0.018364244936677748,4740.2890800000005,0.09576666666666661,0.1165607815631362,0.003434704069148522
1989-07-01,0.0058,0.106,0.01477105506085297,4718.37715,0.0872666666666667,0.11774334317467607,0.008034141157419038
1989-10-01,0.005,0.07200000000000001,0.009107756921637209,4736.40867,0.08436666666666669,0.11878797612284585,0.008335924850633312
1990-01-01,0.0075,0.045,0.021830316028380235,4670.804701999999,0.0824333333333334,0.12406403970430875,0.003775136114451399
1990-04-01,0.0069,0.055999999999999994,0.014869989124254789,4686.704559000001,0.0833333333333334,0.1271163122189883,0.004259981046615135
1990-07-01,0.0059,0.034,0.009242909597068963,4691.535201000001,0.0804333333333334,0.13017892306761783,0.005535372695125926
1990-10-01,0.0047,0.03,-0.0017261512496184299,4656.548263000001,0.0797,0.13236347293926887,0.007275250602754277
1991-01-01,0.006600000000000001,0.005,0.005070167149813273,4568.363966,0.06713333333333331,0.1366655337986702,0.004220733779426539
1991-04-01,0.0061,0.006,0.015191598325683219,4545.210391,0.0601333333333333,0.14166934962461236,0.004962893092071101
1991-07-01,0.0059,-0.027000000000000003,0.012906280572338632,4573.60388,0.057,0.14601312608646816,0.005291723812296483
1991-10-01,0.0054,0.006999999999999999,0.009443054288175995,4550.192185,0.04913333333333331,0.154039405700399,0.006208074576531372
1992-01-01,0.0087,0.008,0.015733318008983883,4541.4144160000005,0.0412333333333333,0.16209797930055275,0.004186757968237725
1992-04-01,0.009300000000000001,-0.003,0.016919577903984576,4522.1694019999995,0.0389333333333333,0.16718290112387968,0.0037498177485417185
1992-07-01,0.0096,-0.004,0.01481710889426791,4535.690297,0.0327,0.17318843407795398,0.004043999365667514
1992-10-01,0.0095,0.021,0.017385144094218073,4541.325436,0.0344,0.1779452301731058,0.003910525396103808
1993-01-01,0.0124,0.017,0.007282956854138634,4528.140235000001,0.031400000000000004,0.1820465041317343,0.0027903533856427657
1993-04-01,0.0121,0.032,0.011810756258415494,4577.983256,0.0313333333333333,0.1872574782523407,0.002787416096862093
1993-07-01,0.0124,0.053,0.010744552124787672,4641.711203,0.031400000000000004,0.18961504960307632,0.0024282426102876205
1993-10-01,0.0122,0.044000000000000004,0.019127888036467998,4711.354008,0.032833333333333305,0.18732043877438131,0.0024350503737757953
1994-01-01,0.0117,0.06,0.014530625466762481,4843.9164040000005,0.0345,0.18564395522132135,0.0016514370502728984
1994-04-01,0.0118,0.07200000000000001,0.018449328325780903,4895.161881,0.0434666666666667,0.18729372435232033,0.0016610689922041254
1994-07-01,0.011899999999999999,0.10300000000000001,0.01161098401516452,4932.363513,0.0485666666666667,0.18626546838621058,0.00139685274375071
1994-10-01,0.0117,0.11199999999999999,0.016943354146561007,5022.360957999999,0.0586333333333333,0.17886450366915266,0.0016051891308737976
1995-01-01,0.0111,0.121,0.008987043827146612,5132.797898,0.0618333333333333,0.1735251061311123,0.001388731780202851
